source,prediction,reference,bleu
28-jähriger koch in san francisco mall tot aufgefunden,"28-year-old reach in san apply in france, dead, the commission is a single single year, i would like to say that the european union",28-year-old chef found dead at san francisco mall,0.0094
"ein 28-jähriger koch, der vor kurzem nach san francisco gezogen ist, wurde im treppenhaus eines örtlichen einkaufzentrums tot aufgefunden.","a 28-year-old reach, which recently has been dead in the house of the local car of a product. is a local product. is a black and then of the european union, has been a black and a long time ago..",a 28-year-old chef who had recently moved to san francisco was found dead in the stairwell of a local mall this week.,0.0378
"der bruder des opfers sagte aus, dass er sich niemanden vorstellen kann, der ihm schaden wollen würde, endlich ging es bei ihm wieder bergauf.","the brother of opfers said that he could never imagine anyone who would like to damage him, at last he was at the same time when he was back to him. is then then i would like to say..","but the victims brother says he cant think of anyone who would want to hurt him, saying, things were finally going well for him.",0.0317
"der am mittwoch morgen in der westfield mall gefundene leichnam wurde als der 28 jahre alte frank galicia aus san francisco identifiziert, teilte die gerichtsmedizinische abteilung in san francisco mit.","the lenamich was identified on wednesday in the west summit in the west summit in favour of 13. i was the first to be open to open galicia, who was the court of justice in france. is a single single single-den","the body found at the westfield mall wednesday morning was identified as 28-year-old san francisco resident frank galicia, the san francisco medical examiners office said.",0.013
"das san francisco police department sagte, dass der tod als mord eingestuft wurde und die ermittlungen am laufen sind.",the san-largen department said that death was classified as murder and the investigation are currently under way. is no longer then the commission is a matter of fact that the death was classified as a murder..,the san francisco police department said the death was ruled a homicide and an investigation is ongoing.,0.0382
"der bruder des opfers, louis galicia, teilte dem abs sender kgo in san francisco mit, dass frank, der früher als koch in boston gearbeitet hat, vor sechs monaten seinen traumjob als koch im sons & daughters restaurant in san francisco ergattert hatte.","the brother of opfers, louis galicia, was told that the intentions of kder in sanprozess, who, in the past, had been held in the first, in six months ago, was his dream as the man in the western alliance in france..","the victims brother, louis galicia, told abc station kgo in san francisco that frank, previously a line cook in boston, had landed his dream job as line chef at san franciscos sons & daughters restaurant six months ago.",0.02
"ein sprecher des sons & daughters sagte, dass sie über seinen tod schockiert und am boden zerstört seien.",a speaker of the western expect the speaker of the speaker said that she was shocked and destroyed on the ground. is a matter is a matter of the european union. is not a matter of the european union. is a matter of fact,a spokesperson for sons & daughters said they were shocked and devastated by his death.,0.0105
"wir sind ein kleines team, das wie eine enge familie arbeitet und wir werden ihn schmerzlich vermissen, sagte der sprecher weiter.","we are a small team, such as close family and we will be alarmed to avoid him, said that the spokesperson is continuing. is a little more than a small team. is a great great job. is a great deal.","we are a small team that operates like a close knit family and he will be dearly missed, the spokesperson said.",0.0918
unsere gedanken und unser beileid sind in dieser schweren zeit bei franks familie und freunden.,our thoughts and content are in this serious time in the area of franks and friends. is a great thing is the european union is a good thing. is then the european union is a good thing..,our thoughts and condolences are with franks family and friends at this difficult time.,0.0307
"louis galicia gab an, dass frank zunächst in hostels lebte, aber dass, die dinge für ihn endlich bergauf gingen.","it was a case of the first time that, in the first place, it was that things were at last up to it. is then the commission is not doing so., then the commission has a great deal of time..","louis galicia said frank initially stayed in hostels, but recently, things were finally going well for him.",0.0108
"er fand eine wohnung, er hatte eine freundin, teilte louis garcia kgo mit.","he was a housing, he had a friend, mr louis kgo. is a country is a friend, he was a friend, mr kgo. is a country that was a friendly..","he found an apartment, he was dating a girl, louis galicia told kgo.",0.0174
"louis galicia sagte, dass er sich niemanden vorstellen könne, der seinem jüngeren bruder schaden wollen würde.","it said that he could never imagine anyone who would like to damage his younger brother. is a matter is a matter of the european union. is a matter of the european union. is a matter of fact, it is not possible to present a.",louis galicia said he could not think of anyone who would want to hurt his younger brother.,0.0428
er war ein freundlicher mensch mit einem großen herzen.,he was a great concern with a great deal of men. is a great one is a great deal of time. is a great deal of the european commission has been a matter of concern..,he was a kind spirit with a big heart.,0.0331
"seine art mit seiner familie zu verbinden war es, uns immer etwas zu kochen, uns das abendessen zuzubereiten, sagte louis galicia.","his kind of family was to be combined with us always to go to the evening, louis galicia said. is a matter of the day, it was a matter of time. the european union has been a matter of time..","his way of connecting with the family was always making us a dish, making us dinner, louis galicia said.",0.0358
er wollte nie an irgendeiner art von auseinandersetzung teilnehmen.,"he did not want to take part in any kind of dispute. is no longer happen the commission has a great deal of debate. is no longer then case, it is not a matter of concern..",he never wanted to be in any kind of altercation.,0.071
"er war der bruder, der mit dem strom schwamm.","he was the brother who was a source of electricity. is then the same time it was a great deal of time. is a matter of the european union.. is a matter of fact, it was a great deal of the world is.",he was the brother that went with the flow.,0.0564
"bei allem, was in der welt schief läuft, war er dieser ungeschliffene diamant, der jeden tag hell leuchtete, sagte er.","in particular, what is wrong in the world was the un-dependent-emine of this un-down, who said every day. is then the world is a matter of fact, and it was a day-to.","with everything else thats going wrong with the world, he was that diamond in the rough that was shining bright every day, he said.",0.0169
"jeder, der informationen zu dem fall hat, wird gebeten das hinweistelefon des sfpd unter der nummer 415-575-4444 anzurufen.",everyone who has information on the case will call for the reference of the amendment of 415-75-44. is a question of the fact that the commission is going to make a refoment,anyone with information is asked to call the sfpd tip line at 415-575-4444.,0.0087
jennifer aniston: ich werde immer in schubladen gesteckt,"the shadow of the people: i will always be back in the middle of, then the commission is a single single european union, i will always be able.",jennifer aniston: im always pigeonholed,0.0067
jennifer aniston muss nicht immer perfekt oder erfolgreich sein.,the fact that the entry of theist must not always be perfect or successful. is a whole way to do so. is a matter of the european union. the european union is not always a good thing..,jennifer aniston need not always be perfect or successful.,0.1228
das hat der hollywood-star in einem interview jetzt unmissverständlich klar gemacht.,"this has now made it clear to the first of the first point in a interview. is now a clear one is now clear. is the commission is not doing this. is a matter of fact, but not least, it is a question.",that is what the hollywood star has made abundantly clear in an interview.,0.007
"ich werde immer in schubladen gesteckt oder bekomme von außen label aufgeklebt, die mit mir und der realität meist wenig zu tun haben.","i will always be back or given the external label, which i and the reality is often less. is a reality. is a great deal of a great extent. is a reality..","im always pigeonholed, or labelled by someone who has little, if anything, to do with me and reality.",0.0083
"ich selbst habe nicht den wunsch, immer perfekt und erfolgreich zu sein.","i myself do not want to be perfect and successful. is no one else, i do not want to be a wish to be a good one. is not a matter of good time..","personally, i have no desire to be perfect and successful all the time.",0.0754
"ehrlich gesagt, sind mir diese dinge eher schnuppe.","i am very honest saying that these things are more closed. is a matter, then then may be a very good thing. is no longer thennnnnnn the commission is responsible for the commission.","to be honest, i dont really give a damn about things like that.",0.008
"jennifer aniston (47) kann nur darüber lachen, dass sie als miss perfect gilt, wie sie in der aktuellen cosmopolitan erklärt.","the enthusiastic of the report (47) can only be able to say that it is a perfect thing as it stated in the current moment, as it says. is a good thing. is not a matter of the day.",jennifer aniston (47) can only laugh that she has been dubbed miss perfect in the current issue of cosmopolitan.,0.0437
"am liebsten verbringt die schauspielerin nämlich ihre zeit zuhause, vorm fernseher mit lockerem dutt und mexikanischem essen, heißt es in dem magazin.","then, in fact, then, then, the people of home, are going to be in their home, to the tens and mexican essence, is to say in the case of the ammunition. is a matter of the day..","the actress prefers to spend her time at home in front of the television with her hair in a relaxed bun, eating mexican food, the magazine reports.",0.0154
"zur weißglut bringe sie die frage nach dem kinderwunsch: wir frauen müssen nicht verheiratet sein oder kinder haben, um vollkommen zu sein, so der hollywood-star.","as regards the white paper, you are asking children: we must not be a long or children to be fully, so that the first of the first is the n. is a great question. is no","the question of whether she wants children makes her livid: we women do not need to be married or have children to feel fulfilled, the hollywood star says.",0.0189
in ihrem neuen film mothers day - liebe ist kein kinderspiel ist aniston als eine alleinerziehende mutter zweier söhne zu sehen.,in your new film mothers day - no population is a person to be seen as a person of all the mother of twooded. is a person of the new film day. is not a population is a population. is a single single person..,"in her new film, mothers day - love isnt childs play, aniston stars as a single mother with two sons.",0.0324
der film läuft bei uns ab dem 25. august.,the film is in the light of 25 august. is then the film is a film that is in the light of 25 august. is then the film is currently in the european union..,the film is released in germany on 25 august.,0.0357
golfer langer erhält die sportpyramide,"in the long run, sport is a high high high., the commission is not a single european union, the high-quality industry is being.",golfer langer is awarded the sport pyramid,0.0109
seine erfahrungen auf dem pferd sind überschaubar.,"his experience on the horse is very easily. is a matter is a matter of the european union. is a matter of the european union. is a good thing, is not a matter of experience..",his experience on horseback is negligible.,0.0282
am ende eines golfturniers in südafrika suchte bernhard langer mit einigen kollegen ein bisschen abwechslung mit einem ausritt am strand.,"on the end of a golftk in south africa, a long-standing-to-date-day-day, with a few colleagues from a third-thirds. is a long time. is a good thing..","at the end of a golfing tournament in south africa, bernhard langer and a colleague went for a ride along the beach for a bit of fun.",0.1376
für den 58-jährigen war es eine premiere.,"it was a first-year-old for the 58-year. is a few time, then the commission has been a first-hand. is a matter of the european union..",it was a first for the 58-year-old.,0.0471
chio: goldene sportpyramide für bernhard langer,"in the first: goldene sport, the long-term sportside for the, the commission is a european union, is a long time of a long time ago.",chio: golden sport pyramid for bernhard langer,0.0076
"nach einigen minuten erinnerten sich die pferde an ihren feierabend, sie jagten im schnellen galopp nach hause zu den futtertrögen.","after a few minutes, the embassies were reminded of their ceremony, they were in the rapid galician home to feed. is a few time, the world of the european union, the world is a matter of urgency..","after a few minutes, the horse decided it wanted to go home, and raced back to its feeding trough at full tilt.",0.0976
"ein kilometer bei diesem tempo, ich habe angst gehabt.","a kilometres of this pace, i have been afraid. is a time, i have been a half of the day. is a great great great great great great reason..",after a kilometre at this speed i was scared.,0.0085
"es war kein gutes erlebnis, sagt langer.","it was not a good thing, a long time. is a good is a good thing. is a good time, then the european union has not said. is a good thing..","it wasnt a good experience, said langer.",0.0141
und damit endete die reitkarriere dann auch schon wieder.,"and then then then then then then again again. is a matter, then then, then, then, the end of the day, has been the case..","and with that, his riding career came to an end again.",0.01
am samstag war deutschlands bester golfer aller zeiten - 101 turniersiege - wieder in der nähe von pferden.,"on saturday, germany was the best golfer of all times - there was a turn, again in the near near of clubs. is a european union is a good thing. is a european union of the european union, is a good thing..","on saturday, germanys best golfer of all time - with 101 tournament wins under his belt - was once again near horses.",0.0739
"er ließ sich mit seiner familie über die anlage des alrv führen, auf ein pferd schwang er sich nicht mal zu fotozwecken.","he had a family on the annex of alrv, he did not have a moment for a horse. is not a moment for a moment. is a single euro-mediterranean family..","he and his family toured the alrv grounds, but he did not jump onto a horse for a photo.",0.045
langer war das erste mal in aachen und damit auch beim chio.,"in close, the first time was in a and so it was the chio. is the first time., then is the first time in the past..","it was langers first time in aachen, and at chio.",0.0492
der grund war durchaus überzeugend.,"the reason was very convincing. is a matter is a matter of the european union. is a matter. is a matter of the european union.. is a matter of fact, it was very convincing..",he had been thoroughly convinced.,0
die deutsche sporthilfe überreichte dem mann aus anhausen im rahmen einer kleinen gala die goldene sportpyramide.,"the german sport aid over the man of a small-scale sports, is the goldene of the chinese sportide. is a small one. is a european union, is a question of the fact that the german sport is a small-scale sports area..",the german sport aid foundation awarded the man from anhausen with the golden sport pyramid at a small gala event.,0.0801
an auszeichnungen mangelt es dem sympathischen sportler nicht.,"it is not a lack of the general sportsmen. is no longer then thennn the same time, then, is not a lack of credit. is no longer then is a lack of credit..",the friendly sportsman is not lacking for awards.,0.0132
"bundesverdienstkreuz, silbernes lorbeerblatt, champions-tour-player of the year...","criticism, the most-called lauger, the champions-tour-tourism of the year..., the commission is a single single single-dency, is a car,","the federal cross of merit, the silver laurel leaf, champions tour player of the year...",0.0256
selbst die britische queen hat ihn schon geadelt.,even the british queen has already been a general one. is a matter of the uk is not a matter of time. is a matter of the uk is a question of the european union..,even the british queen has bestowed an honour upon him.,0.0989
langer ist der 18. preisträger der sportpyramide.,"in many years, the 18th anniversary of sport is the case. is a m moment, the first is a question of sport. is a matter of the european union. is a matter of the day.",langer is the 18th person to be awarded the sport pyramid.,0.0168
in aachen traf er am samstag den ersten preisträger hans günter winkler.,"in a sense, he met the first-minute hans winkler on saturday. is a time he was the first time. is a matter of the european parliament, mr president, mr president, mr mr.","on saturday, he met the first person to receive it, hans günter winkler, in aachen.",0.0395
"diese auszeichnung bedeutet mir sehr viel, sagt langer, denn sie wird nicht nur für sportliche erfolge, sondern auch für gesellschaftliches engagement vergeben.","this is a great deal of credit, but it is not only a result of sporting successes but also for society. is a long time it is not only a matter of sporting successes. is a great deal of work. is a matter of fact","this award means a lot to me, said langer, because its not just given for sporting success, but also for social commitment.",0.025
seit jahrzehnten fördert langer den nachwuchs.,"for decades, long encourages the car. is a long time it is a long time. is a long time. is a long time..",langer has been encouraging up-and-coming talent for years.,0.0083
und so gab er auch das preisgeld von 25.000 euro gleich weiter.,"and so he has also gone on to the price of eur 25000. is then then case the commission has been in the same way., the commission has been in the same way as a result of eur 25000.","and in this vein, he passed the prize money of 25,000 euros on straight away.",0.0074
mit 15 weiteren herausragenden sportlern wurde der zweifache us-masterssieger am samstag in die hall of fame des deutschen sports aufgenommen.,the two us-largement in the hall of the german sport was included in the hall of the german sport in saturday. is a few people have been in the case of us-zens. is a matter of the day of the,"the two-time us masters champion was inaugurated into the hall of fame for german sport on saturday, along with 15 other outstanding sportspeople.",0.0313
"zu den ausgezeichneten gehören die leichtathleten hartwig gauder und harald schmitt, der turner eberhard gienger, die fechter cornelia hanisch, alexander pusch und arnd schmitt, der ruderer peter-michael kolbe, bob-fahrer meinhard nehmer, der judoka frank wieneke, der springreiter alwin schockemöhle und posthum der handballer erhard wunderlich.","the fence of hemp, alexander push and ar schmitt, the student of peter-lll, mr confirm my colleague, mr onen, mr onen, the al killing alangang and post of the hand-in-office of the hand-inard.",", alexander putsch and arnd schmitt, rower peter-michael kolbe, bob-sleigh rider meinhard nehmer, judo player frank wieneke, show-jumper alwin schockemöhle, and, posthumously, handball player erhard wunderlich.",0.0074
viele dieser sportlegenden waren am samstag nach aachen gekommen.,"many of these sports were held after saturday. is a matter, then the commission has been a matter of time. is a matter of fact, i would like to say that there was a great deal of work..",many of these sport legends came to aachen on saturday.,0.0274
"nach dem offiziellen teil wanderte die illustre gesellschaft ins springstadion, wo der lavazza-preis lief.","after official part of migrant society, the present of the first-rate price, where the first of the amendment of the amendment was the case. is the european union has been a official part of the official immigration..","after the official part, the illustrious gathering wandered to the show-jumping stadium, where the lavazza prize was underway.",0.0178
bernhard langer hielt abstand zu den großen tieren.,"however, mr palacio felt a long time to the large animals. is a long time, then the european union has been a long time. is a long time, then the european union has been able to get.",bernhard langer kept his distance from the large animals.,0.0248
clintons und trumps wirtschaftspolitik im vergleich: its all about the money,"clintons and economic policy compared with all the money, the money is a moment, is a great deal of time., the",comparing clintons and trumps economic policies: its all about the money,0.0302
in infrastruktur investieren und das handelsabkommen ttp verhindern - das wollen sowohl clinton als auch trump.,"in infrastructure and prevent the trade agreement in t-up, which is both clinton and the first. is a country is not a matter of trade. is a european union, the trade agreement is not entire.",both clinton and trump want to invest in infrastructure and prevent the ttp trade agreement.,0.1362
uneins sind sich die beiden us-präsidentschaftsbewerber jedoch bei der steuer- und energiepolitik sowie in einer grundsatzfrage.,"however, the two us presidency is in the light of tax and energy policy and in principle. is a principle. is a matter of the european parliament. is a matter of genergy.","but the two candidates for the us presidency disagree on taxes and energy policies, as well as on one fundamental issue.",0.0222
"den unterschieden in der wirtschaftspolitik zwischen donald trump und hillary clinton liegt ein grundsätzlicher, eher philosophischer unterschied zugrunde.",the differences in economic policy between the presented and the development of the economic policy between the presented and the fact that the more philosophical difference is based on economic policy. is not a question.,there is a fundamental philosophical reason for the differences between donald trumps and hillary clintons economic policies.,0.0159
"der, über die rolle des staates.","the role of the state is the case. is a matter is a matter of the state. is a matter of the european union. is an end, the european union. is a matter of fact a question.",this is the role of the state.,0.0868
"trump will die im zweifel eher klein halten und warnt davor, wie der staat der wirtschaft schaden kann - mit steuern und regulierungen.","the question of the state of economic growth is that the state can harm taxes and regulation is a little small and more. is a state of the economy can harm. is a reality. is a matter of fact, is a little more difficult..","if in doubt, trump wants the states role to be minor, and warns of how the state can damage the economy with taxes and regulations.",0.0333
"clinton wolle die wirtschaft zu tode besteuern und zu tode regulieren, sagt er.","clinton wants to death and to death, he says that it is a good thing. is a matter is a question of the european union. is a matter of the european union s environment. is a matter of fact a question of no","clinton wants to lead the economy to its death and regulate it to its death, he says.",0.0341
"er selber dagegen wäre ganz anders, behauptet trump.","he would be quite different to the case, that it is claimed that it is a different one. is a european union is not a matter of the european union., it is a matter of fact that it is not possible to do so..","he would do things totally differently, trump says.",0.0098
